Meetings_Scheduled,Meetings_Attended,Attendance,Punctuality,Sprint_Completion,Task_Quality,On_Time_Delivery,Communication,Tasks_Assigned,Tasks_Completed,Performance
29,24,82,0,77,70,51,7,8,5,Medium
20,19,95,1,88,91,88,9,13,11,High
21,18,85,1,97,89,96,7,9,8,High
31,13,41,1,41,51,52,2,14,6,Low
36,14,38,1,58,58,51,4,14,6,Low
28,18,64,1,80,66,52,7,12,8,Medium
27,24,88,0,94,78,85,9,14,13,High
23,13,56,0,52,56,63,2,13,5,Low
25,17,68,1,86,69,58,5,10,7,Medium
31,30,96,1,80,93,82,6,13,12,High
38,31,81,1,85,72,75,5,12,9,Medium
41,30,73,1,63,87,80,6,11,8,Medium
34,26,76,1,80,68,65,6,10,7,Medium
48,43,89,1,83,76,88,9,10,9,High
41,20,48,0,50,53,61,3,8,3,Low
40,33,82,1,85,67,89,5,8,5,Medium
29,28,96,1,85,93,98,6,10,9,High
24,15,62,0,82,73,59,8,9,7,Low
30,29,96,0,88,82,89,8,13,12,High
25,20,80,1,78,61,70,4,8,5,Medium
39,34,87,1,92,86,89,7,10,9,High
20,12,60,1,67,76,63,8,14,11,Medium
27,11,40,0,61,58,69,5,11,5,Low
24,14,58,0,63,68,57,5,12,9,Medium
43,26,60,0,57,84,89,8,11,9,Medium
31,20,64,1,65,68,76,5,10,7,Medium
24,12,50,1,58,56,71,6,13,6,Low
23,21,91,0,94,81,82,7,9,8,High
33,23,69,0,85,69,58,5,13,9,Medium
21,9,42,1,44,71,53,3,10,5,Low
30,23,76,1,78,80,54,5,11,7,Medium
39,34,87,1,76,86,88,9,10,9,High
40,39,97,1,89,88,78,8,14,13,High
35,15,42,1,71,53,71,1,10,5,Low
47,43,91,1,99,82,76,8,11,10,High
27,24,88,0,98,85,73,9,9,8,High
40,34,85,1,91,79,93,9,10,9,High
27,17,62,1,49,60,69,5,8,4,Low
39,31,79,1,78,83,82,5,12,9,Medium
20,18,90,1,90,89,79,7,10,9,Medium
31,14,45,1,42,57,46,2,9,4,Low
37,27,72,1,66,61,68,6,11,8,Medium
44,39,88,0,84,89,99,7,14,12,High
23,20,86,1,76,76,83,8,14,12,High
41,37,90,0,91,98,96,9,8,7,High
39,26,66,0,69,61,79,8,10,6,High
33,27,81,0,78,57,61,8,9,7,Medium
33,32,96,0,85,88,74,7,13,12,High
22,13,59,1,70,72,73,4,10,4,Low
44,18,40,1,69,73,40,2,10,4,Low
36,17,47,1,63,55,59,5,9,3,Low
27,15,55,1,60,62,41,5,14,6,Low
37,22,59,1,64,80,74,5,9,7,Medium
26,22,84,1,95,85,92,6,10,9,High
20,17,85,1,91,82,98,7,9,8,High
25,18,72,1,60,85,55,4,11,7,Medium
26,22,84,1,77,82,95,9,12,11,High
28,27,96,1,82,79,87,7,10,9,High
46,38,82,0,89,83,68,7,8,6,Medium
40,37,92,0,97,75,73,9,10,9,High
28,14,50,0,50,46,72,2,12,5,High
27,14,51,1,52,49,72,4,9,5,Low
29,25,86,0,82,95,86,8,9,8,High
34,30,88,1,78,92,74,9,8,7,High
21,13,61,1,51,65,68,5,11,6,Low
44,39,88,0,99,90,93,6,10,9,High
23,16,69,1,77,55,78,8,11,9,Medium
28,22,78,1,73,62,64,4,10,7,Medium
28,24,85,1,88,85,71,6,13,12,High
20,10,50,1,61,70,58,5,14,8,Low
31,18,58,1,73,64,74,6,11,7,Medium
28,15,53,1,72,55,49,2,12,5,Low
23,14,60,1,68,88,83,5,11,7,Medium
47,46,97,0,90,91,78,9,12,10,High
48,43,89,1,91,90,79,8,8,7,High
33,32,96,1,96,84,81,8,13,12,High
40,38,95,1,88,85,79,6,10,9,High
20,13,65,1,65,58,85,8,8,6,Medium
28,20,71,1,62,74,70,5,12,8,Medium
40,17,42,1,51,53,68,4,11,6,Low
27,18,66,0,69,56,53,6,9,6,Medium
37,19,51,0,47,54,45,2,9,4,Low
44,37,84,1,79,57,77,6,13,10,Medium
25,13,52,1,67,62,64,5,12,6,Low
43,35,81,1,84,73,85,8,9,7,Medium
23,18,78,1,65,73,71,5,14,12,Medium
44,23,52,1,54,59,67,5,8,5,Low
32,30,93,0,95,77,96,8,10,9,High
45,44,97,0,97,99,88,6,8,7,Low
27,15,55,1,52,66,62,2,12,6,Medium
49,42,85,0,88,78,84,7,8,7,High
39,31,79,1,65,63,67,8,9,7,Medium
47,43,91,1,87,88,99,8,14,13,High
34,22,64,1,67,67,73,4,9,6,Medium
45,19,42,1,56,65,65,4,14,6,Low
43,18,41,1,63,57,64,5,8,3,Low
49,37,75,1,75,58,77,7,12,9,Medium
40,22,55,1,69,62,41,1,14,6,Low
30,13,43,1,50,51,49,1,9,4,Low
26,16,61,1,59,63,71,4,11,4,Low
40,39,97,1,76,86,98,6,11,10,High
37,25,67,1,57,58,80,7,9,7,Medium
36,16,44,1,58,53,47,2,12,7,Low
38,35,92,1,77,97,87,8,8,7,High
40,16,40,1,71,56,52,5,12,7,Low
42,25,59,1,73,65,64,6,11,5,Low
39,22,56,1,41,67,48,5,10,6,Low
41,26,63,0,86,70,63,7,12,9,Medium
24,20,83,1,85,98,74,6,13,11,High
48,46,95,1,87,97,91,8,10,9,High
22,11,50,1,40,56,42,3,11,5,Low
35,30,85,1,79,84,86,9,9,8,High
46,22,47,1,45,73,46,5,10,5,Low
36,15,41,1,58,70,61,4,12,7,Low
36,26,72,0,64,64,66,4,8,6,Medium
38,22,57,0,46,67,69,1,14,7,Low
34,20,58,1,63,49,52,4,9,4,High
31,18,58,1,60,57,49,4,10,6,Low
30,29,96,1,76,89,72,6,8,7,High
33,29,87,1,87,83,95,7,13,12,High
42,32,76,1,81,82,57,8,11,7,Low
34,28,82,0,83,64,56,6,9,8,Medium
24,23,95,1,81,79,95,7,12,11,High
41,30,73,1,88,58,71,6,8,6,Medium
42,35,83,1,81,91,77,6,8,7,High
42,38,90,1,91,95,81,7,14,12,High
28,25,89,1,79,90,76,7,11,10,High
43,25,58,1,59,54,41,3,9,4,Low
33,13,39,1,65,72,43,6,11,6,Low
32,24,75,1,63,88,77,6,10,8,Medium
24,23,95,1,76,81,80,7,14,13,High
48,36,75,0,70,83,77,6,9,7,Medium
22,9,40,0,65,64,69,2,12,7,Low
49,40,81,1,74,77,76,7,8,5,Medium
31,16,51,1,47,58,56,1,14,8,Low
35,32,91,1,99,77,76,8,11,10,High
32,15,46,1,70,49,67,6,8,3,High
34,21,61,1,84,66,57,5,8,6,Medium
44,43,97,0,80,92,90,8,8,7,High
29,23,79,1,59,79,86,8,9,7,Low
33,21,63,1,61,66,83,7,10,7,Medium
49,21,42,1,55,62,72,4,13,8,High
24,15,62,0,48,45,65,6,8,4,Low
38,35,92,1,79,88,77,9,14,13,Medium
29,21,72,0,58,86,64,5,11,9,Medium
27,22,81,0,60,62,62,6,8,5,Medium
40,28,70,1,58,63,83,8,8,5,Medium
47,32,68,1,72,63,70,4,14,12,Medium
39,38,97,0,94,80,95,7,14,13,High
22,14,63,1,88,71,55,6,14,12,Medium
43,26,60,0,56,57,54,4,9,5,Low
34,30,88,1,90,77,81,8,10,9,High
39,22,56,1,44,70,68,3,8,4,Low
26,20,76,1,57,69,81,6,14,11,Medium
31,30,96,1,88,97,99,8,9,8,Medium
29,16,55,0,49,60,72,6,13,6,Low
24,15,62,0,83,68,77,6,10,8,High
46,44,95,1,84,89,92,9,11,10,High
22,17,77,1,66,58,70,6,8,6,Medium
47,29,61,1,46,51,53,2,9,5,Low
45,43,95,1,84,78,96,9,10,9,High
26,19,73,1,84,75,55,5,11,7,Medium
25,18,72,1,60,59,79,4,8,7,Medium
32,30,93,0,93,92,71,6,8,7,High
48,27,56,0,51,45,55,6,8,4,Low
26,25,96,0,78,77,93,9,10,9,Low
23,9,39,1,46,72,61,1,14,7,High
23,22,95,1,84,81,94,6,14,13,High
20,18,90,0,99,99,90,7,14,12,High
24,21,87,1,99,76,81,9,9,8,High
42,17,40,1,57,48,61,6,12,7,Low
45,21,46,1,48,57,54,4,10,6,Low
37,15,40,1,66,55,74,1,14,8,Low
31,30,96,1,85,81,98,7,12,11,High
43,18,41,1,70,57,40,4,9,5,Medium
33,16,48,0,65,45,69,6,13,6,Low
26,23,88,1,78,97,90,7,13,12,High
46,43,93,1,82,94,73,7,13,12,High
45,30,66,1,66,74,67,6,10,6,Medium
23,17,73,0,62,74,75,5,8,5,Medium
37,22,59,1,66,79,67,7,14,10,Medium
28,22,78,0,80,77,86,5,12,8,Medium
20,11,55,1,70,60,53,2,13,5,Low
47,24,51,1,68,49,45,4,11,6,Low
20,13,65,1,76,80,74,4,11,7,Medium
39,33,84,1,77,89,74,8,9,8,High
20,19,95,0,87,85,99,7,9,8,High
47,37,78,0,76,85,75,6,12,8,Medium
27,25,92,0,80,98,89,8,10,9,High
37,29,78,0,71,88,60,8,12,10,Medium
32,30,93,1,87,90,74,6,9,8,High
41,26,63,0,55,69,57,2,14,5,Low
26,11,42,1,45,59,47,2,14,5,Low
34,29,85,0,94,97,71,7,8,7,High
44,19,43,1,65,71,62,6,13,6,High
34,22,64,0,79,81,84,7,14,11,Medium
31,19,61,1,61,63,41,6,14,6,Low
43,28,65,0,74,74,55,6,11,9,Medium
47,35,74,0,55,60,50,5,11,7,Low
29,18,62,1,61,64,60,6,14,5,High
35,22,62,1,71,48,74,6,14,6,Low
22,14,63,0,86,80,72,7,9,6,Medium
47,32,68,1,76,85,77,6,12,9,High
48,34,70,1,83,77,54,8,13,9,Medium
29,12,41,1,73,72,50,1,10,5,Low
37,27,72,1,62,57,80,4,13,10,Medium
32,20,62,1,67,89,59,8,9,6,Medium
45,41,91,0,80,96,91,7,14,13,High
21,15,71,1,64,87,52,4,14,10,Medium
31,19,61,1,68,89,61,8,11,8,Medium
34,22,64,1,87,84,63,6,8,5,Medium
28,16,57,1,72,47,54,3,11,5,Low
26,23,88,1,95,96,72,8,12,11,High
37,33,89,0,79,89,98,7,8,7,High
47,32,68,0,65,84,81,5,13,8,Medium
47,29,61,1,63,64,61,3,14,8,Low
22,9,40,1,72,53,57,2,9,5,Low
49,32,65,1,80,57,63,6,14,11,Medium
34,26,76,0,88,67,50,7,9,7,Medium
22,18,81,1,91,85,75,8,8,7,High
45,42,93,1,83,82,75,9,12,11,High
31,24,77,1,56,72,53,5,14,10,Medium
30,24,80,0,57,81,57,7,12,8,Medium
29,21,72,1,65,55,68,8,13,10,Low
49,41,83,0,82,74,83,4,13,10,Medium
20,9,45,0,65,57,74,5,10,4,Low
35,27,77,1,79,72,58,5,13,10,Medium
36,34,94,1,89,87,81,6,12,11,High
38,32,84,1,97,84,73,7,10,9,High
20,15,75,1,71,81,62,6,9,6,Medium
33,24,72,1,63,85,63,8,8,6,Medium
46,23,50,0,51,66,53,2,9,4,Low
37,31,83,0,75,86,63,8,13,9,Medium
38,24,63,1,50,72,61,2,14,8,Low
40,16,40,1,43,69,48,2,14,6,Low
48,31,64,1,77,89,69,5,13,9,Medium
43,23,53,0,57,55,51,2,10,4,Low
37,20,54,0,48,72,49,6,12,5,Low
20,9,45,0,74,46,44,2,12,7,Medium
33,18,54,0,43,74,40,3,8,3,Low
37,27,72,1,61,80,52,7,11,7,Medium
43,31,72,1,61,63,56,5,11,7,Medium
33,24,72,1,71,60,62,5,14,9,Medium
36,25,69,0,89,56,61,7,11,8,Medium
31,19,61,0,68,47,48,2,12,7,Low
25,17,68,0,86,71,75,8,13,11,Medium
36,15,41,0,45,68,46,1,11,5,Low
43,27,62,0,87,59,65,4,12,10,Medium
27,17,62,1,82,74,64,7,9,8,Medium
21,19,90,1,76,91,79,9,10,9,High
45,28,62,1,58,60,52,4,8,5,Medium
45,19,42,0,43,55,54,4,10,5,Low
32,20,62,0,57,49,73,3,14,7,Low
44,20,45,1,49,49,74,3,14,7,Low
37,18,48,1,66,53,45,5,12,5,Low
40,32,80,0,65,72,82,4,12,10,Medium
20,10,50,1,66,66,54,2,14,7,Low
39,34,87,1,89,92,77,7,14,13,High
39,19,48,1,61,68,43,4,14,8,Low
25,19,76,0,70,74,66,7,11,9,Medium
42,27,64,1,81,89,74,8,12,7,Medium
34,19,55,1,45,52,41,5,12,5,Low
32,27,84,1,65,62,77,4,14,11,Medium
45,26,57,1,73,61,73,5,12,6,Low
26,23,88,1,87,82,80,9,8,7,High
48,40,83,0,83,83,76,8,12,11,High
40,30,75,1,72,84,88,4,13,9,Medium
35,17,48,1,41,46,48,6,14,7,Low
23,14,60,1,56,60,64,8,10,6,Medium
28,19,67,1,75,62,69,8,9,7,Medium
20,8,40,1,69,69,60,6,8,4,Low
43,35,81,1,79,58,55,4,13,10,Medium
22,20,90,0,78,86,87,9,13,12,Low
42,26,61,0,57,83,81,4,12,9,Medium
46,38,82,1,82,70,63,4,8,6,Medium
48,25,52,1,46,64,45,6,14,6,Low
20,8,40,1,64,67,48,2,9,4,Low
29,28,96,1,88,81,77,6,14,13,High
37,29,78,1,81,62,64,8,12,8,High
20,15,75,1,55,88,65,6,13,11,Medium
38,24,63,1,42,53,43,1,12,5,Low
41,24,58,0,65,72,68,4,11,8,Medium
38,31,81,0,57,79,72,6,10,7,Medium
44,22,50,0,51,60,71,5,13,7,Low
36,31,86,1,98,85,72,6,13,12,High
29,24,82,1,84,56,73,7,10,8,Medium
38,29,76,1,76,76,66,7,12,8,Medium
24,19,79,1,70,88,66,8,13,8,Medium
25,22,88,1,83,85,82,6,10,9,High
44,32,72,1,77,75,72,4,9,6,Medium
42,37,88,1,89,86,84,9,12,11,High
27,18,66,1,72,80,64,7,14,10,Medium
21,20,95,1,82,92,77,9,8,7,High
41,25,60,1,83,55,78,5,10,8,Medium
34,13,38,0,62,68,70,2,13,6,Low
22,14,63,1,85,67,59,8,10,7,Medium
47,41,87,0,76,88,88,7,12,11,High
46,22,47,0,49,54,63,2,10,5,Low
20,16,80,0,88,81,59,6,14,10,Medium
21,12,57,1,55,45,58,2,12,6,Low
43,42,97,1,87,97,93,6,9,8,High
26,21,80,0,75,62,63,8,10,8,High
36,23,63,0,79,77,61,5,13,8,High
48,33,68,0,76,84,85,4,14,9,Medium
48,30,62,1,73,68,48,1,8,5,Low
40,28,70,1,76,70,87,5,12,10,Low
34,19,55,0,54,47,51,5,11,5,Low
44,28,63,1,75,64,78,5,13,10,Medium
30,29,96,0,75,94,80,8,14,13,High
32,19,59,1,87,69,68,8,11,8,Medium
43,32,74,1,60,58,88,7,14,10,Medium
42,29,69,1,88,65,85,5,11,7,Medium
29,23,79,1,88,62,79,6,14,9,Medium
40,30,75,1,65,80,76,5,13,8,Medium
40,28,70,0,55,60,61,6,10,8,Low
26,21,80,1,81,82,81,6,8,6,Medium
34,30,88,1,84,93,79,8,8,7,High
27,18,66,0,71,55,69,6,14,9,Medium
32,31,96,1,86,95,93,8,11,9,High
47,28,59,1,58,56,58,6,11,9,Medium
24,19,79,1,86,77,72,8,10,7,Medium
25,12,48,1,41,66,73,4,14,8,Low
45,19,42,1,64,69,54,1,10,4,Low
21,11,52,1,66,49,64,4,12,5,Low
49,35,71,1,64,89,60,7,12,8,Medium
39,27,69,1,70,82,53,8,12,10,Medium
30,25,83,1,86,75,73,6,12,11,High
45,44,97,1,96,90,84,8,9,8,High
45,40,88,1,99,86,86,6,9,8,High
49,47,95,1,91,97,76,6,11,10,High
44,42,95,1,79,99,90,8,8,7,High
24,23,95,1,78,92,88,6,10,9,High
20,12,60,0,54,50,68,6,10,4,Low
46,34,73,1,84,59,86,7,11,8,Medium
31,26,83,1,78,90,80,8,9,8,High
25,21,84,0,83,94,91,9,9,8,High
23,20,86,1,75,96,70,7,8,7,High
46,37,80,1,69,78,50,4,12,9,Medium
36,24,66,1,73,69,54,5,11,8,Medium
21,12,57,1,67,46,55,5,10,4,Low
35,14,40,1,45,50,49,4,14,5,Low
29,23,79,1,85,84,67,7,9,6,Low
25,24,96,1,85,96,74,9,9,8,High
22,19,86,0,78,80,98,6,13,12,High
28,19,67,1,66,59,51,5,10,7,Medium
42,38,90,1,85,95,95,9,9,8,High
39,24,61,0,43,73,41,6,10,5,Low
21,15,71,1,64,75,85,8,10,6,Medium
32,19,59,0,46,58,59,6,8,4,Low
20,9,45,1,57,72,49,3,9,4,Low
29,19,65,1,67,80,77,6,13,11,Medium
33,24,72,1,77,55,58,7,11,8,Medium
34,20,58,0,52,45,45,6,12,7,Low
40,31,77,1,80,68,57,6,12,7,Medium
32,25,78,0,88,67,65,8,9,7,Medium
23,21,91,1,83,86,95,9,10,9,High
30,24,80,1,85,77,77,4,9,7,Medium
27,21,77,1,84,65,88,6,9,7,Medium
36,17,47,0,65,66,72,4,8,4,Low
45,22,48,1,66,49,53,3,13,5,Low
28,18,64,1,75,71,70,5,9,8,Medium
49,31,63,0,64,51,40,2,11,4,Low
24,22,91,0,99,97,98,7,13,12,High
27,26,96,1,89,82,83,7,13,11,High
22,20,90,0,91,91,85,9,10,9,High
29,20,68,1,55,84,70,5,11,7,Medium
46,19,41,1,57,46,52,2,10,5,Low
22,17,77,1,61,55,61,5,8,6,Medium
39,23,58,1,52,47,66,4,8,4,Low
28,16,57,1,59,46,53,5,11,6,Low
38,28,73,1,67,55,65,8,14,10,Medium
28,19,67,0,73,71,69,5,8,5,Medium
48,20,41,1,42,61,59,5,14,8,Low
35,16,45,1,48,67,63,2,11,7,Low
39,17,43,1,63,61,58,2,13,8,Low
36,18,50,1,46,72,70,1,9,5,Low
29,17,58,0,59,86,53,6,8,5,Medium
32,28,87,0,75,90,78,8,12,11,High
30,26,86,1,76,79,72,7,9,8,High
22,9,40,1,57,60,70,4,10,6,Low
40,17,42,0,55,64,52,5,14,6,Low
41,38,92,0,97,77,98,7,10,9,High
24,10,41,0,57,58,71,6,8,3,Low
21,16,76,0,62,60,68,4,10,8,Medium
21,11,52,1,41,69,54,1,12,6,Low
30,20,66,1,69,68,55,8,11,8,Medium
30,14,46,1,65,51,71,6,14,8,Low
34,26,76,1,61,81,52,7,14,10,Medium
43,27,62,1,55,73,45,3,9,3,Low
21,15,71,1,60,63,65,5,11,8,Medium
46,28,60,1,43,71,60,6,10,4,Low
47,38,80,1,74,61,59,5,10,7,Medium
30,21,70,1,78,89,73,4,8,5,Medium
21,11,52,0,52,74,65,6,10,4,Low
24,22,91,0,79,95,77,7,8,7,High
48,22,45,1,50,56,44,5,13,8,Low
24,12,50,1,56,52,59,3,10,6,Low
25,23,92,1,80,87,76,6,10,9,High
23,12,52,0,46,72,40,3,14,7,Low
41,27,65,0,64,61,77,4,14,10,Medium
35,32,91,1,76,91,92,7,14,13,Low
23,10,43,1,44,63,44,3,13,6,Low
26,23,88,1,80,94,77,9,14,12,High
41,30,73,0,62,87,88,7,9,8,Medium
28,20,71,1,58,68,84,5,14,11,Medium
34,22,64,1,57,83,71,4,11,8,Medium
32,25,78,1,85,55,66,8,12,10,Medium
45,37,82,0,68,60,51,6,8,5,Medium
24,18,75,1,75,73,73,7,9,6,Medium
30,27,90,1,86,84,75,9,11,10,High
27,19,70,1,85,88,60,5,14,9,Medium
38,35,92,0,99,97,75,9,8,7,High
27,14,51,0,40,60,61,1,10,5,Low
22,9,40,1,42,68,60,1,11,5,Low
47,35,74,1,64,61,71,7,8,6,Medium
35,25,71,1,75,69,87,5,13,10,Medium
44,26,59,0,55,50,72,6,9,3,Low
32,26,81,0,59,60,76,5,12,7,Medium
48,42,87,0,98,81,85,8,8,7,High
27,11,40,0,48,47,46,4,9,3,Low
38,16,42,0,65,54,65,5,9,5,Low
34,29,85,1,75,95,82,7,14,13,High
25,11,44,0,61,66,66,2,11,5,Low
32,15,46,1,50,66,50,2,11,6,Low
37,17,45,0,54,58,72,2,14,7,Low
23,16,69,1,89,78,62,5,13,9,Medium
36,21,58,1,52,51,43,3,12,5,Low
29,18,62,1,76,75,84,5,9,7,Medium
20,11,55,1,72,63,64,4,8,3,Low
35,24,68,1,62,65,86,8,14,9,Medium
22,13,59,1,59,64,50,2,11,4,Low
40,37,92,1,76,95,90,6,10,9,High
29,24,82,0,95,86,93,6,13,12,High
44,37,84,1,99,93,99,6,9,8,Medium
46,39,84,1,97,80,78,6,13,12,High
48,37,77,1,78,56,89,6,14,10,Medium
49,46,93,0,99,94,83,6,14,13,High
20,12,60,1,48,69,56,3,12,6,Low
44,27,61,1,75,69,80,7,11,8,Medium
47,40,85,1,89,98,76,6,13,12,High
46,32,69,1,66,71,54,4,8,5,Medium
22,19,86,0,85,84,85,7,9,8,High
48,42,87,1,99,82,89,7,14,12,High
43,30,69,1,89,79,60,8,11,9,Medium
20,12,60,1,49,49,42,4,12,5,Low
41,25,60,0,46,55,72,2,14,6,Low
36,16,44,0,54,71,65,2,12,5,Low
25,18,72,1,82,76,74,6,11,9,Medium
48,24,50,1,71,71,72,2,12,7,Low
20,15,75,1,86,55,77,7,9,7,Medium
24,15,62,0,73,86,72,7,13,9,Medium
26,11,42,0,65,54,54,2,14,6,Low
28,22,78,1,67,84,61,4,13,9,Medium
49,22,44,1,43,46,47,1,11,5,Low
38,19,50,1,55,74,42,4,13,7,Low
41,39,95,1,83,97,84,8,10,9,High
23,20,86,1,75,92,74,6,11,10,High
45,28,62,1,67,58,54,6,8,3,Low
30,29,96,1,83,97,99,7,8,7,High
36,30,83,0,62,70,57,5,13,9,Medium
37,31,83,1,89,77,80,8,14,13,High
38,36,94,1,87,90,72,7,9,8,High
43,30,69,1,78,79,63,6,14,12,Medium
49,22,44,1,44,56,66,1,13,6,Low
42,36,85,1,91,85,79,6,13,12,High
43,36,83,0,76,67,72,7,13,9,High
42,21,50,1,47,46,62,5,14,6,Low
44,26,59,1,73,62,76,7,11,7,Medium
48,21,43,1,52,50,68,5,9,4,Low
42,35,83,0,61,71,84,6,11,7,Medium
44,43,97,0,80,86,93,6,11,10,High
45,40,88,1,96,99,87,9,9,8,Low
27,13,48,1,51,59,51,3,9,5,Low
39,30,76,1,71,78,74,4,9,7,Medium
36,22,61,1,77,56,71,4,14,9,Medium
34,21,61,1,51,50,58,3,13,5,Low
39,36,92,0,96,97,86,7,14,13,High
38,34,89,1,97,75,94,8,13,12,High
23,22,95,1,87,76,97,9,10,9,High
23,12,52,0,74,53,49,2,11,5,Low
21,16,76,1,56,79,57,4,13,9,Medium
35,21,60,0,60,70,67,5,9,6,Low
38,22,57,1,57,53,57,1,14,9,Low
26,18,69,0,81,87,62,8,13,11,Medium
26,12,46,0,55,56,48,3,10,4,Low
21,11,52,0,63,47,59,3,13,7,Low
21,14,66,1,82,89,88,6,9,6,Medium
42,18,42,1,70,71,62,4,10,6,Low
32,18,56,1,51,68,59,5,8,4,Medium
43,37,86,1,78,82,88,8,9,8,High
42,37,88,1,88,76,70,6,14,13,High
38,20,52,1,52,64,62,2,13,7,Low
28,15,53,1,70,67,43,2,9,5,Low
42,32,76,1,75,66,85,6,8,5,Medium
47,29,61,1,45,70,49,5,10,5,Low
35,14,40,1,52,47,73,5,11,4,Low
26,17,65,1,62,64,77,4,9,6,Medium
35,26,74,1,65,87,71,8,8,6,Medium
32,31,96,1,76,86,92,9,14,12,High
42,21,50,1,66,62,49,6,9,3,Low
28,27,96,0,96,78,82,7,8,7,High
26,24,92,1,90,99,78,6,11,10,High
38,24,63,1,68,66,74,7,13,10,Medium
44,37,84,1,75,92,95,8,9,8,High
30,28,93,0,84,97,96,9,8,7,Low
33,25,75,0,76,85,80,6,14,11,Medium
36,16,44,1,43,55,74,6,9,5,Low
49,27,55,0,42,62,61,4,9,5,Low
46,30,65,0,56,88,88,6,8,5,Medium
28,11,39,0,59,66,61,6,11,5,Low
38,31,81,0,68,77,52,5,14,10,Medium
38,32,84,1,86,78,82,6,9,8,High
38,35,92,0,83,96,85,6,10,9,High
43,33,76,0,56,55,77,5,12,10,Medium
30,20,66,1,62,72,57,5,13,9,Medium
34,15,44,1,69,48,42,2,11,4,Low
34,16,47,0,66,46,72,4,8,4,Low
31,26,83,1,88,84,66,6,10,8,Medium
42,20,47,1,41,71,46,5,13,6,Low
29,16,55,0,47,70,74,3,14,6,Low
40,30,75,1,85,79,58,5,8,6,Medium
35,27,77,1,66,61,72,4,14,9,Medium
23,21,91,0,90,96,79,8,14,12,High
31,26,83,1,92,95,85,9,13,11,High
41,25,60,1,74,75,89,7,12,9,Medium
48,46,95,0,80,94,97,6,11,10,High
42,28,66,1,64,79,69,8,9,7,Medium
38,33,86,0,99,90,74,9,11,10,High
28,27,96,1,76,85,79,8,10,9,High
34,27,79,0,75,78,51,6,14,11,Medium
