Meetings_Scheduled,Meetings_Attended,Attendance,Punctuality,Sprint_Completion,Task_Quality,On_Time_Delivery,Communication,Tasks_Assigned,Tasks_Completed,Task_Completion_Rate,On_Time_Delivery_Rate,Overall_Quality_Score,Communication_Level,Is_Punctual,Meeting_Attendance_Rate,Performance_Index,Attendance_Consistency
33,32,96,1,87,79,78,8,9,8,0.8888888888888888,0.78,83.0,0.8,1,96.96969696969697,83.22222222222221,0.98
49,24,48,1,71,60,59,4,8,4,0.5,0.59,65.5,0.4,1,48.97959183673469,60.0,0.74
46,20,43,1,56,66,72,4,11,6,0.5454545454545454,0.72,61.0,0.4,1,43.47826086956522,62.13636363636363,0.715
20,10,50,1,45,48,49,6,8,4,0.5,0.49,46.5,0.6,1,50.0,48.0,0.75
49,41,83,0,60,70,80,6,8,7,0.875,0.8,65.0,0.6,0,83.6734693877551,74.37499999999999,0.415
39,37,94,1,77,79,72,6,9,8,0.8888888888888888,0.72,78.0,0.6,1,94.87179487179486,79.22222222222221,0.97
45,20,44,1,73,46,71,1,8,4,0.5,0.71,59.5,0.1,1,44.44444444444444,60.0,0.72
34,31,91,1,81,93,96,9,11,10,0.9090909090909091,0.96,87.0,0.9,1,91.17647058823529,90.22727272727273,0.9550000000000001
31,29,93,1,98,93,73,8,14,13,0.9285714285714286,0.73,95.5,0.8,1,93.54838709677419,89.21428571428572,0.9650000000000001
44,35,79,0,59,68,52,4,14,10,0.7142857142857143,0.52,63.5,0.4,0,79.54545454545455,62.60714285714286,0.395
47,36,76,1,78,55,83,5,13,10,0.7692307692307693,0.83,66.5,0.5,1,76.59574468085107,73.23076923076923,0.88
22,21,95,1,90,95,79,7,11,9,0.8181818181818182,0.79,92.5,0.7,1,95.45454545454545,86.45454545454547,0.975
30,25,83,0,82,87,57,5,11,7,0.6363636363636364,0.57,84.5,0.5,0,83.33333333333334,72.4090909090909,0.415
27,23,85,0,85,99,91,7,10,9,0.9,0.91,92.0,0.7,0,85.18518518518519,91.25,0.425
24,17,70,1,87,69,54,6,8,6,0.75,0.54,78.0,0.6,1,70.83333333333334,71.25,0.85
41,28,68,1,59,80,69,7,14,10,0.7142857142857143,0.69,69.5,0.7,1,68.29268292682927,69.85714285714286,0.8400000000000001
43,35,81,1,67,80,84,8,11,7,0.6363636363636364,0.84,73.5,0.8,1,81.3953488372093,73.6590909090909,0.905
49,29,59,1,87,73,76,8,11,9,0.8181818181818182,0.76,80.0,0.8,1,59.183673469387756,79.45454545454547,0.7949999999999999
48,21,43,1,57,53,53,3,9,5,0.5555555555555556,0.53,55.0,0.3,1,43.75,54.63888888888889,0.715
35,33,94,1,83,81,77,6,11,10,0.9090909090909091,0.77,82.0,0.6,1,94.28571428571428,82.97727272727273,0.97
49,25,51,0,44,50,47,4,8,3,0.375,0.47,47.0,0.4,0,51.02040816326531,44.625,0.255
39,35,89,0,76,85,98,7,14,13,0.9285714285714286,0.98,80.5,0.7,0,89.74358974358975,87.96428571428571,0.445
22,20,90,0,81,92,96,8,11,9,0.8181818181818182,0.96,86.5,0.8,0,90.9090909090909,87.70454545454545,0.45
20,19,95,0,93,88,94,7,10,9,0.9,0.94,90.5,0.7,0,95.0,91.25,0.475
49,27,55,1,53,48,60,4,8,3,0.375,0.6,50.5,0.4,1,55.10204081632652,49.625,0.775
30,14,46,1,54,50,62,1,11,5,0.45454545454545453,0.62,52.0,0.1,1,46.666666666666664,52.86363636363637,0.73
41,27,65,1,71,86,54,6,11,7,0.6363636363636364,0.54,78.5,0.6,1,65.85365853658537,68.6590909090909,0.825
23,17,73,1,76,68,85,7,11,9,0.8181818181818182,0.85,72.0,0.7,1,73.91304347826086,77.70454545454545,0.865
39,29,74,0,65,75,54,4,12,9,0.75,0.54,70.0,0.4,0,74.35897435897436,67.25,0.37
45,28,62,1,52,53,67,3,10,5,0.5,0.67,52.5,0.3,1,62.22222222222222,55.50000000000001,0.81
32,27,84,0,94,98,70,7,9,8,0.8888888888888888,0.7,96.0,0.7,0,84.375,87.72222222222221,0.42
26,13,50,1,42,48,63,1,9,4,0.4444444444444444,0.63,45.0,0.1,1,50.0,49.361111111111114,0.75
22,16,72,0,73,57,63,8,11,8,0.7272727272727273,0.63,65.0,0.8,0,72.72727272727273,66.43181818181819,0.36
32,18,56,0,58,57,58,6,10,5,0.5,0.58,57.5,0.6,0,56.25,55.75,0.28
40,17,42,1,60,53,61,4,13,7,0.5384615384615384,0.61,56.5,0.4,1,42.5,56.96153846153845,0.71
40,36,90,1,88,94,80,8,13,11,0.8461538461538461,0.8,91.0,0.8,1,90.0,86.65384615384615,0.95
24,17,70,0,61,66,60,7,11,8,0.7272727272727273,0.6,63.5,0.7,0,70.83333333333334,64.93181818181817,0.35
22,12,54,1,52,52,49,3,14,5,0.35714285714285715,0.49,52.0,0.3,1,54.54545454545454,47.17857142857143,0.77
34,33,97,0,77,76,96,7,13,12,0.9230769230769231,0.96,76.5,0.7,0,97.05882352941177,85.32692307692308,0.485
26,25,96,0,92,98,95,9,14,12,0.8571428571428571,0.95,95.0,0.9,0,96.15384615384616,92.67857142857143,0.48
21,10,47,1,74,45,55,1,8,3,0.375,0.55,59.5,0.1,1,47.61904761904761,52.87500000000001,0.735
25,16,64,1,67,62,70,7,12,9,0.75,0.7,64.5,0.7,1,64.0,68.5,0.8200000000000001
38,35,92,1,82,77,80,8,13,11,0.8461538461538461,0.8,79.5,0.8,1,92.10526315789474,80.90384615384616,0.96
20,10,50,0,43,73,43,5,12,6,0.5,0.43,58.0,0.5,0,50.0,52.25,0.25
26,23,88,1,99,80,75,9,10,9,0.9,0.75,89.5,0.9,1,88.46153846153845,86.0,0.94
28,25,89,1,96,82,97,7,8,7,0.875,0.97,89.0,0.7,1,89.28571428571429,90.625,0.9450000000000001
28,26,92,0,89,95,95,6,8,7,0.875,0.95,92.0,0.6,0,92.85714285714286,91.625,0.46
42,19,45,1,47,47,53,3,14,6,0.42857142857142855,0.53,47.0,0.3,1,45.23809523809524,47.464285714285715,0.725
46,36,78,1,60,66,57,4,13,10,0.7692307692307693,0.57,63.0,0.4,1,78.26086956521739,64.98076923076923,0.89
47,23,48,1,48,54,48,1,13,6,0.46153846153846156,0.48,51.0,0.1,1,48.93617021276596,49.03846153846154,0.74
21,14,66,1,63,84,65,4,14,11,0.7857142857142857,0.65,73.5,0.4,1,66.66666666666666,72.64285714285714,0.8300000000000001
49,37,75,1,87,83,57,5,11,9,0.8181818181818182,0.57,85.0,0.5,1,75.51020408163265,77.20454545454545,0.875
29,23,79,1,82,60,69,7,14,12,0.8571428571428571,0.69,71.0,0.7,1,79.3103448275862,74.17857142857143,0.895
46,44,95,1,92,79,77,6,11,10,0.9090909090909091,0.77,85.5,0.6,1,95.65217391304348,84.72727272727273,0.975
31,27,87,1,78,75,71,7,8,7,0.875,0.71,76.5,0.7,1,87.09677419354838,77.875,0.935
46,29,63,1,73,57,50,7,8,5,0.625,0.5,65.0,0.7,1,63.04347826086957,60.62499999999999,0.815
41,35,85,1,96,81,86,7,14,13,0.9285714285714286,0.86,88.5,0.7,1,85.36585365853658,88.96428571428571,0.925
32,30,93,0,98,84,73,6,10,9,0.9,0.73,91.0,0.6,0,93.75,86.25,0.465
36,22,61,0,87,69,52,5,14,9,0.6428571428571429,0.52,78.0,0.5,0,61.111111111111114,68.07142857142857,0.305
46,22,47,1,55,73,43,2,14,6,0.42857142857142855,0.43,64.0,0.2,1,47.82608695652174,53.46428571428572,0.735
28,13,46,0,48,55,58,3,9,5,0.5555555555555556,0.58,51.5,0.3,0,46.42857142857143,54.13888888888889,0.23
25,12,48,1,42,73,47,2,14,5,0.35714285714285715,0.47,57.5,0.2,1,48.0,49.42857142857143,0.74
44,29,65,0,66,81,87,8,10,6,0.6,0.87,73.5,0.8,0,65.9090909090909,73.50000000000001,0.325
26,24,92,0,83,83,97,6,10,9,0.9,0.97,83.0,0.6,0,92.3076923076923,88.25,0.46
44,24,54,1,65,72,42,4,12,7,0.5833333333333334,0.42,68.5,0.4,1,54.54545454545454,59.333333333333336,0.77
46,34,73,0,58,79,71,5,13,10,0.7692307692307693,0.71,68.5,0.5,0,73.91304347826086,71.23076923076923,0.365
20,8,40,0,62,59,43,2,13,7,0.5384615384615384,0.43,60.5,0.2,0,40.0,54.46153846153846,0.2
21,14,66,1,56,73,61,4,13,11,0.8461538461538461,0.61,64.5,0.4,1,66.66666666666666,68.65384615384616,0.8300000000000001
32,21,65,0,71,75,60,8,9,6,0.6666666666666666,0.6,73.0,0.8,0,65.625,68.16666666666666,0.325
21,12,57,1,69,83,56,8,9,6,0.6666666666666666,0.56,76.0,0.8,1,57.14285714285714,68.66666666666667,0.7849999999999999
41,36,87,0,87,89,90,8,10,9,0.9,0.9,88.0,0.8,0,87.8048780487805,89.0,0.435
30,19,63,0,89,69,60,5,8,6,0.75,0.6,79.0,0.5,0,63.33333333333333,73.25,0.315
27,14,51,0,49,73,43,2,11,5,0.45454545454545453,0.43,61.0,0.2,0,51.85185185185185,52.61363636363636,0.255
39,31,79,1,82,68,74,5,10,7,0.7,0.74,75.0,0.5,1,79.48717948717949,73.50000000000001,0.895
33,29,87,1,97,93,71,6,14,12,0.8571428571428571,0.71,95.0,0.6,1,87.87878787878788,86.67857142857143,0.935
45,18,40,1,43,47,65,1,10,4,0.4,0.65,45.0,0.1,1,40.0,48.74999999999999,0.7
49,43,87,1,96,96,83,9,12,11,0.9166666666666666,0.83,96.0,0.9,1,87.75510204081633,91.66666666666666,0.935
22,14,63,1,88,84,70,5,12,9,0.75,0.7,86.0,0.5,1,63.63636363636363,79.25,0.815
34,22,64,1,75,70,64,4,9,6,0.6666666666666666,0.64,72.5,0.4,1,64.70588235294117,68.91666666666667,0.8200000000000001
32,17,53,1,68,71,49,2,13,7,0.5384615384615384,0.49,69.5,0.2,1,53.125,60.46153846153845,0.765
41,26,63,1,85,62,78,4,12,10,0.8333333333333334,0.78,73.5,0.4,1,63.41463414634146,77.08333333333333,0.815
25,24,96,0,87,94,82,7,12,11,0.9166666666666666,0.82,90.5,0.7,0,96.0,88.66666666666666,0.48
37,17,45,0,46,53,40,4,11,6,0.5454545454545454,0.4,49.5,0.4,0,45.94594594594595,48.38636363636364,0.225
21,12,57,1,53,62,63,1,9,4,0.4444444444444444,0.63,57.5,0.1,1,57.14285714285714,55.611111111111114,0.7849999999999999
22,17,77,1,55,88,86,4,14,11,0.7857142857142857,0.86,71.5,0.4,1,77.27272727272727,76.89285714285714,0.885
33,15,45,1,61,58,41,2,9,4,0.4444444444444444,0.41,59.5,0.2,1,45.45454545454545,51.11111111111111,0.725
23,17,73,1,84,58,68,6,10,7,0.7,0.68,71.0,0.6,1,73.91304347826086,70.0,0.865
25,18,72,1,80,70,66,5,9,6,0.6666666666666666,0.66,75.0,0.5,1,72.0,70.66666666666667,0.86
28,25,89,1,82,98,82,7,8,7,0.875,0.82,90.0,0.7,1,89.28571428571429,87.37499999999999,0.9450000000000001
21,9,42,1,44,56,40,4,13,6,0.46153846153846156,0.4,50.0,0.4,1,42.857142857142854,46.53846153846154,0.71
38,24,63,1,83,57,76,6,10,6,0.6,0.76,70.0,0.6,1,63.1578947368421,69.0,0.815
47,44,93,1,75,99,96,8,13,12,0.9230769230769231,0.96,87.0,0.8,1,93.61702127659575,90.57692307692308,0.9650000000000001
22,19,86,1,96,91,76,8,13,12,0.9230769230769231,0.76,93.5,0.8,1,86.36363636363636,88.82692307692308,0.9299999999999999
38,36,94,1,93,85,83,7,9,8,0.8888888888888888,0.83,89.0,0.7,1,94.73684210526315,87.47222222222221,0.97
40,27,67,1,72,80,81,4,9,5,0.5555555555555556,0.81,76.0,0.4,1,67.5,72.1388888888889,0.835
46,32,69,1,86,64,64,7,10,8,0.8,0.64,75.0,0.7,1,69.56521739130434,73.5,0.845
41,22,53,1,60,68,43,3,12,7,0.5833333333333334,0.43,64.0,0.3,1,53.65853658536586,57.333333333333336,0.765
32,30,93,0,95,76,74,9,13,11,0.8461538461538461,0.74,85.5,0.9,0,93.75,82.40384615384615,0.465
29,28,96,1,95,81,80,7,9,8,0.8888888888888888,0.8,88.0,0.7,1,96.55172413793103,86.22222222222223,0.98
46,27,58,1,44,51,45,6,13,7,0.5384615384615384,0.45,47.5,0.6,1,58.69565217391305,48.46153846153846,0.79
46,37,80,1,82,69,70,6,9,7,0.7777777777777778,0.7,75.5,0.6,1,80.43478260869566,74.69444444444444,0.9
30,28,93,0,75,87,86,7,11,9,0.8181818181818182,0.86,81.0,0.7,0,93.33333333333333,82.45454545454545,0.465
39,19,48,0,47,48,68,4,14,5,0.35714285714285715,0.68,47.5,0.4,0,48.717948717948715,49.67857142857143,0.24
33,26,78,0,61,71,55,6,11,9,0.8181818181818182,0.55,66.0,0.6,0,78.78787878787878,67.20454545454547,0.39
43,21,48,0,54,55,74,4,8,3,0.375,0.74,54.5,0.4,0,48.837209302325576,55.125,0.24
21,20,95,1,99,94,87,7,8,7,0.875,0.87,96.5,0.7,1,95.23809523809523,91.875,0.975
21,13,61,1,71,60,84,6,10,7,0.7,0.84,65.5,0.6,1,61.904761904761905,71.24999999999999,0.8049999999999999
34,28,82,1,62,77,57,5,11,8,0.7272727272727273,0.57,69.5,0.5,1,82.35294117647058,67.18181818181817,0.9099999999999999
35,14,40,1,47,57,52,3,14,6,0.42857142857142855,0.52,52.0,0.3,1,40.0,49.714285714285715,0.7
40,17,42,1,74,58,53,1,10,5,0.5,0.53,66.0,0.1,1,42.5,58.74999999999999,0.71
28,20,71,0,73,70,81,8,11,9,0.8181818181818182,0.81,71.5,0.8,0,71.42857142857143,76.45454545454545,0.355
44,31,70,1,83,77,79,5,10,6,0.6,0.79,80.0,0.5,1,70.45454545454545,74.75,0.85
43,41,95,1,79,79,72,6,10,9,0.9,0.72,79.0,0.6,1,95.34883720930233,80.0,0.975
34,32,94,1,88,87,81,7,11,10,0.9090909090909091,0.81,87.5,0.7,1,94.11764705882352,86.72727272727273,0.97
37,36,97,1,93,86,88,8,13,12,0.9230769230769231,0.88,89.5,0.8,1,97.2972972972973,89.82692307692308,0.985
47,40,85,1,88,79,99,9,9,8,0.8888888888888888,0.99,83.5,0.9,1,85.1063829787234,88.72222222222221,0.925
41,36,87,0,87,82,90,7,11,9,0.8181818181818182,0.9,84.5,0.7,0,87.8048780487805,85.20454545454545,0.435
28,18,64,1,70,89,83,8,14,12,0.8571428571428571,0.83,79.5,0.8,1,64.28571428571429,81.92857142857143,0.8200000000000001
20,13,65,1,56,63,75,4,14,9,0.6428571428571429,0.75,59.5,0.4,1,65.0,64.57142857142857,0.825
44,22,50,1,52,45,44,4,10,5,0.5,0.44,48.5,0.4,1,50.0,47.75,0.75
33,24,72,1,58,88,66,7,8,6,0.75,0.66,73.0,0.7,1,72.72727272727273,71.75,0.86
34,15,44,1,63,62,48,2,8,4,0.5,0.48,62.5,0.2,1,44.11764705882353,55.75,0.72
31,26,83,0,56,62,59,4,10,7,0.7,0.59,59.0,0.4,0,83.87096774193549,61.75000000000001,0.415
30,19,63,1,76,68,82,5,10,6,0.6,0.82,72.0,0.5,1,63.33333333333333,71.5,0.815
21,19,90,0,79,94,92,7,10,9,0.9,0.92,86.5,0.7,0,90.47619047619048,88.75,0.45
45,44,97,1,76,83,74,6,10,9,0.9,0.74,79.5,0.6,1,97.77777777777777,80.74999999999999,0.985
23,21,91,1,75,77,83,7,11,10,0.9090909090909091,0.83,76.0,0.7,1,91.30434782608695,81.47727272727273,0.9550000000000001
33,26,78,1,89,64,70,8,13,9,0.6923076923076923,0.7,76.5,0.8,1,78.78787878787878,73.0576923076923,0.89
28,20,71,1,58,88,78,8,10,7,0.7,0.78,73.0,0.8,1,71.42857142857143,73.50000000000001,0.855
46,40,86,1,80,85,97,9,8,7,0.875,0.97,82.5,0.9,1,86.95652173913044,87.375,0.9299999999999999
22,13,59,1,60,60,59,1,14,7,0.5,0.59,60.0,0.1,1,59.09090909090909,57.25,0.7949999999999999
47,43,91,1,84,83,79,6,8,7,0.875,0.79,83.5,0.6,1,91.48936170212765,83.375,0.9550000000000001
33,25,75,1,82,59,61,4,10,7,0.7,0.61,70.5,0.4,1,75.75757575757575,68.0,0.875
26,10,38,0,48,51,58,3,10,4,0.4,0.58,49.5,0.3,0,38.46153846153847,49.25000000000001,0.19
43,32,74,1,89,63,85,6,10,8,0.8,0.85,76.0,0.6,1,74.4186046511628,79.25000000000001,0.87
44,19,43,0,40,66,44,3,11,5,0.45454545454545453,0.44,53.0,0.3,0,43.18181818181818,48.86363636363637,0.215
30,26,86,0,97,98,92,8,9,8,0.8888888888888888,0.92,97.5,0.8,0,86.66666666666667,93.97222222222221,0.43
27,15,55,1,48,52,56,2,11,6,0.5454545454545454,0.56,50.0,0.2,1,55.55555555555556,52.63636363636364,0.775
30,24,80,1,72,63,87,7,14,12,0.8571428571428571,0.87,67.5,0.7,1,80.0,76.92857142857143,0.9
26,18,69,1,73,71,59,5,14,11,0.7857142857142857,0.59,72.0,0.5,1,69.23076923076923,70.39285714285714,0.845
36,20,55,1,51,71,70,1,8,4,0.5,0.7,61.0,0.1,1,55.55555555555556,60.5,0.775
32,23,71,1,61,82,71,6,14,10,0.7142857142857143,0.71,71.5,0.6,1,71.875,71.35714285714285,0.855
30,14,46,1,52,67,47,3,9,5,0.5555555555555556,0.47,59.5,0.3,1,46.666666666666664,55.388888888888886,0.73
26,22,84,1,96,89,81,9,8,7,0.875,0.81,92.5,0.9,1,84.61538461538461,88.375,0.9199999999999999
39,29,74,1,86,61,88,7,12,9,0.75,0.88,73.5,0.7,1,74.35897435897436,77.49999999999999,0.87
32,24,75,1,77,72,66,4,8,6,0.75,0.66,74.5,0.4,1,75.0,72.50000000000001,0.875
29,26,89,1,80,93,89,8,8,7,0.875,0.89,86.5,0.8,1,89.65517241379311,87.375,0.9450000000000001
47,30,63,0,60,58,52,1,10,4,0.4,0.52,59.0,0.1,0,63.829787234042556,52.5,0.315
27,11,40,1,70,55,54,3,11,5,0.45454545454545453,0.54,62.5,0.3,1,40.74074074074074,56.11363636363637,0.7
38,33,86,0,94,77,88,8,9,8,0.8888888888888888,0.88,85.5,0.8,0,86.8421052631579,86.97222222222221,0.43
46,29,63,1,55,61,53,4,9,7,0.7777777777777778,0.53,58.0,0.4,1,63.04347826086957,61.69444444444445,0.815
28,20,71,1,80,57,68,4,12,8,0.6666666666666666,0.68,68.5,0.4,1,71.42857142857143,67.91666666666667,0.855
33,25,75,1,60,82,55,6,11,8,0.7272727272727273,0.55,71.0,0.6,1,75.75757575757575,67.43181818181819,0.875
42,31,73,1,70,64,69,4,12,10,0.8333333333333334,0.69,67.0,0.4,1,73.80952380952381,71.58333333333333,0.865
29,17,58,0,51,47,40,3,9,5,0.5555555555555556,0.4,49.0,0.3,0,58.620689655172406,48.38888888888889,0.29
43,21,48,1,54,65,41,1,9,4,0.4444444444444444,0.41,59.5,0.1,1,48.837209302325576,51.11111111111111,0.74
38,34,89,0,88,78,90,6,12,11,0.9166666666666666,0.9,83.0,0.6,0,89.47368421052632,86.91666666666666,0.445
32,20,62,0,62,88,63,5,10,6,0.6,0.63,75.0,0.5,0,62.5,68.25,0.31
29,20,68,1,86,64,65,5,9,7,0.7777777777777778,0.65,75.0,0.5,1,68.96551724137932,73.19444444444444,0.8400000000000001
20,12,60,1,41,57,52,1,12,5,0.4166666666666667,0.52,49.0,0.1,1,60.0,47.91666666666667,0.8
34,15,44,1,52,47,63,3,12,5,0.4166666666666667,0.63,49.5,0.3,1,44.11764705882353,50.916666666666664,0.72
34,30,88,0,90,98,87,9,12,10,0.8333333333333334,0.87,94.0,0.9,0,88.23529411764706,89.58333333333334,0.44
47,25,53,1,44,63,59,1,11,5,0.45454545454545453,0.59,53.5,0.1,1,53.191489361702125,52.86363636363637,0.765
44,43,97,1,85,79,70,8,14,13,0.9285714285714286,0.7,82.0,0.8,1,97.72727272727273,81.71428571428572,0.985
28,27,96,1,78,91,76,8,13,12,0.9230769230769231,0.76,84.5,0.8,1,96.42857142857143,84.32692307692307,0.98
21,11,52,1,62,64,43,2,11,5,0.45454545454545453,0.43,63.0,0.2,1,52.38095238095239,53.61363636363636,0.76
43,28,65,0,68,86,75,7,9,7,0.7777777777777778,0.75,77.0,0.7,0,65.11627906976744,76.69444444444444,0.325
47,22,46,0,40,66,73,4,14,8,0.5714285714285714,0.73,53.0,0.4,0,46.808510638297875,59.03571428571428,0.23
44,37,84,1,62,73,57,7,12,10,0.8333333333333334,0.57,67.5,0.7,1,84.0909090909091,68.83333333333333,0.9199999999999999
37,28,75,1,60,81,82,6,13,9,0.6923076923076923,0.82,70.5,0.6,1,75.67567567567568,73.0576923076923,0.875
21,12,57,1,65,61,55,8,12,9,0.75,0.55,63.0,0.8,1,57.14285714285714,63.99999999999999,0.7849999999999999
47,29,61,1,67,76,50,8,9,7,0.7777777777777778,0.5,71.5,0.8,1,61.702127659574465,67.69444444444444,0.8049999999999999
42,28,66,0,68,86,81,7,14,11,0.7857142857142857,0.81,77.0,0.7,0,66.66666666666666,78.39285714285714,0.33
38,23,60,1,68,88,84,4,12,9,0.75,0.84,78.0,0.4,1,60.526315789473685,78.75,0.8
36,17,47,1,65,60,53,4,14,8,0.5714285714285714,0.53,62.5,0.4,1,47.22222222222222,58.785714285714285,0.735
35,24,68,1,65,81,52,4,13,9,0.6923076923076923,0.52,73.0,0.4,1,68.57142857142857,66.8076923076923,0.8400000000000001
32,22,68,0,59,81,57,7,8,5,0.625,0.57,70.0,0.7,0,68.75,64.875,0.34
34,31,91,0,80,76,70,8,12,11,0.9166666666666666,0.7,78.0,0.8,0,91.17647058823529,79.41666666666667,0.455
41,39,95,0,94,80,85,7,11,10,0.9090909090909091,0.85,87.0,0.7,0,95.1219512195122,87.47727272727272,0.475
36,27,75,1,84,65,81,5,14,9,0.6428571428571429,0.81,74.5,0.5,1,75.0,73.57142857142858,0.875
25,24,96,1,80,76,88,9,8,7,0.875,0.88,78.0,0.9,1,96.0,82.875,0.98
20,15,75,0,65,82,79,6,12,9,0.75,0.79,73.5,0.6,0,75.0,75.25,0.375
43,26,60,1,61,70,65,6,13,9,0.6923076923076923,0.65,65.5,0.6,1,60.46511627906976,66.3076923076923,0.8
21,9,42,0,50,58,68,3,12,5,0.4166666666666667,0.68,54.0,0.3,0,42.857142857142854,54.41666666666667,0.21
21,18,85,1,87,83,72,8,12,11,0.9166666666666666,0.72,85.0,0.8,1,85.71428571428571,83.41666666666667,0.925
34,23,67,1,83,58,88,4,14,9,0.6428571428571429,0.88,70.5,0.4,1,67.64705882352942,73.32142857142857,0.835
41,36,87,1,83,93,81,8,12,11,0.9166666666666666,0.81,88.0,0.8,1,87.8048780487805,87.16666666666667,0.935
36,30,83,1,83,92,88,7,11,10,0.9090909090909091,0.88,87.5,0.7,1,83.33333333333334,88.47727272727272,0.915
34,20,58,1,63,71,57,4,14,10,0.7142857142857143,0.57,67.0,0.4,1,58.82352941176471,65.60714285714285,0.79
39,37,94,1,82,76,73,6,11,10,0.9090909090909091,0.73,79.0,0.6,1,94.87179487179486,80.47727272727273,0.97
24,11,45,1,43,74,58,3,12,5,0.4166666666666667,0.58,58.5,0.3,1,45.83333333333333,54.166666666666664,0.725
40,25,62,0,67,79,75,6,14,9,0.6428571428571429,0.75,73.0,0.6,0,62.5,71.32142857142857,0.31
26,17,65,1,79,56,70,5,13,9,0.6923076923076923,0.7,67.5,0.5,1,65.38461538461539,68.5576923076923,0.825
33,23,69,0,67,67,60,8,11,7,0.6363636363636364,0.6,67.0,0.8,0,69.6969696969697,64.40909090909092,0.345
31,14,45,0,45,49,66,1,9,5,0.5555555555555556,0.66,47.0,0.1,0,45.16129032258064,53.888888888888886,0.225
25,19,76,1,63,74,86,6,9,7,0.7777777777777778,0.86,68.5,0.6,1,76.0,75.19444444444444,0.88
21,13,61,1,47,50,45,1,11,6,0.5454545454545454,0.45,48.5,0.1,1,61.904761904761905,49.13636363636363,0.8049999999999999
35,19,54,1,58,58,56,6,13,7,0.5384615384615384,0.56,58.0,0.6,1,54.285714285714285,56.46153846153846,0.77
32,29,90,0,75,83,90,8,10,9,0.9,0.9,79.0,0.8,0,90.625,84.5,0.45
37,26,70,1,81,73,81,8,8,5,0.625,0.81,77.0,0.8,1,70.27027027027027,74.375,0.85
21,9,42,1,57,73,66,1,8,3,0.375,0.66,65.0,0.1,1,42.857142857142854,58.375,0.71
30,18,60,1,71,76,84,6,10,7,0.7,0.84,73.5,0.6,1,60.0,75.25,0.8
