Meetings_Scheduled,Meetings_Attended,Attendance,Punctuality,Sprint_Completion,Task_Quality,On_Time_Delivery,Communication,Tasks_Assigned,Tasks_Completed,Performance
36,15,41,0,66,50,64,3,12,6,Low
28,24,85,1,96,76,81,8,14,13,High
21,19,90,0,84,91,93,8,10,9,High
46,41,89,1,84,77,70,9,12,11,High
34,29,85,0,84,91,70,7,9,8,High
25,22,88,1,95,79,81,8,14,12,High
35,15,42,1,49,53,45,1,14,6,Low
37,15,40,1,56,58,67,5,11,4,Low
39,36,92,1,77,92,99,8,9,8,High
22,15,68,0,58,78,68,6,13,8,Medium
46,45,97,1,96,96,81,9,13,12,High
41,29,70,1,81,83,77,4,11,8,Medium
20,15,75,0,69,78,86,8,12,9,Medium
39,34,87,1,82,81,93,8,9,8,High
34,16,47,0,53,68,58,3,11,5,Low
48,33,68,1,66,72,75,4,12,10,Medium
40,28,70,0,62,61,69,7,14,9,Medium
23,17,73,1,80,64,51,8,14,9,Medium
25,20,80,1,64,72,82,4,10,7,Medium
31,28,90,1,81,88,75,7,14,13,High
35,24,68,1,59,76,60,4,14,11,Medium
39,20,51,0,42,51,53,2,12,5,Low
21,14,66,1,76,69,62,8,9,5,Medium
37,33,89,1,90,90,90,9,9,8,High
42,38,90,1,84,90,90,6,11,9,High
29,24,82,0,79,81,89,9,13,12,High
46,45,97,1,89,98,78,9,11,10,High
35,23,65,1,76,78,57,4,13,10,Medium
44,17,38,1,60,66,49,4,9,3,Low
44,32,72,1,78,56,80,4,13,8,Medium
37,19,51,1,41,63,49,4,11,6,Medium
28,17,60,1,86,82,69,4,13,8,Medium
20,13,65,1,79,66,64,5,9,6,Medium
24,22,91,1,78,99,92,6,14,13,High
38,30,78,1,75,72,86,4,9,8,Medium
36,22,61,1,82,63,85,8,10,7,Medium
30,19,63,1,60,68,83,7,10,6,Medium
37,27,72,1,68,82,81,6,12,10,High
44,42,95,1,81,82,80,9,8,7,High
44,39,88,1,83,84,87,8,11,10,High
35,29,82,0,84,83,86,8,8,7,High
21,19,90,1,96,94,72,6,14,13,High
45,23,51,1,49,50,55,3,8,5,Low
32,28,87,1,81,92,77,6,12,11,High
44,30,68,1,68,73,81,7,13,10,Medium
33,15,45,1,51,46,72,2,13,6,Low
42,34,80,1,71,63,80,4,14,9,Medium
21,20,95,1,78,76,72,7,9,8,High
49,46,93,1,96,90,96,9,9,8,High
22,11,50,0,61,48,65,4,9,3,Low
46,35,76,0,85,66,70,4,14,9,Medium
40,26,65,0,74,86,82,4,10,6,Medium
44,35,79,1,58,65,56,4,8,6,Medium
48,46,95,1,98,86,96,6,12,11,High
42,18,42,1,42,74,46,3,12,5,Low
44,27,61,1,89,71,71,7,13,8,Medium
21,16,76,1,64,71,75,4,9,6,Medium
29,17,58,1,56,72,65,3,11,6,Low
24,16,66,0,57,63,56,6,8,7,Medium
27,24,88,1,76,76,73,6,11,10,High
46,30,65,0,88,56,78,8,12,9,Medium
35,21,60,0,56,72,41,4,11,6,Low
43,40,93,1,93,76,89,7,8,7,High
43,38,88,0,80,99,74,7,11,10,High
45,40,88,1,92,86,92,8,13,12,High
25,19,76,1,87,80,78,4,13,9,Medium
37,35,94,1,85,83,87,9,9,8,High
21,18,85,1,76,82,75,6,10,9,High
35,18,51,1,46,69,70,1,14,8,Low
37,26,70,1,73,70,72,8,12,8,Medium
40,33,82,0,58,74,51,4,9,6,Medium
48,24,50,1,42,57,60,5,10,4,Low
43,26,60,1,85,56,69,5,13,8,Medium
35,14,40,1,66,48,49,1,10,5,Low
38,21,55,0,43,55,61,6,13,7,Low
28,18,64,1,55,81,76,7,14,9,Medium
32,19,59,0,40,51,70,5,8,5,Low
29,27,93,1,86,79,77,8,10,9,High
44,18,40,1,58,46,51,3,13,5,Low
45,40,88,1,94,89,74,8,11,10,High
23,11,47,0,55,52,50,1,14,6,Low
21,15,71,1,56,59,64,6,9,7,Medium
48,46,95,1,85,86,97,9,12,11,High
33,24,72,1,58,88,66,7,8,6,Medium
33,20,60,1,53,46,54,6,8,5,Low
45,21,46,1,40,54,63,2,14,8,Low
25,19,76,1,81,75,82,5,9,6,Medium
33,16,48,1,48,49,54,3,9,4,Low
45,22,48,1,46,47,57,2,8,4,Low
48,45,93,1,83,99,80,6,9,8,High
34,30,88,1,96,82,77,7,10,9,High
46,29,63,1,74,82,63,6,9,6,Medium
35,28,80,1,85,64,83,4,10,7,Medium
35,34,97,0,92,98,73,7,8,7,High
46,42,91,1,85,84,89,9,13,12,High
40,27,67,1,84,70,76,4,9,6,Medium
49,27,55,1,53,48,60,4,8,3,Low
40,27,67,0,59,82,68,5,11,8,Medium
32,28,87,1,85,91,99,9,9,8,High
38,28,73,1,71,73,53,8,12,10,Medium
47,22,46,0,64,59,54,3,11,6,Low
28,20,71,1,58,88,78,8,10,7,Medium
23,21,91,1,80,88,95,7,12,11,High
48,30,62,1,71,69,86,6,12,8,Medium
49,39,79,1,64,88,82,6,14,12,Medium
47,25,53,1,44,63,59,1,11,5,Low
35,26,74,1,67,88,59,5,9,7,Medium
21,14,66,1,85,73,87,4,14,9,Medium
46,38,82,1,57,83,81,4,14,11,Medium
22,13,59,1,68,68,88,7,14,10,Medium
38,24,63,1,58,89,64,6,9,7,Medium
31,28,90,1,75,88,89,7,9,8,High
49,26,53,1,61,47,56,1,11,6,Low
45,42,93,1,94,86,87,8,11,10,High
20,10,50,1,60,58,71,4,14,8,Low
38,31,81,1,88,66,82,4,11,7,Medium
37,17,45,1,69,54,50,5,9,5,Low
34,32,94,1,96,90,86,6,9,8,High
28,22,78,0,69,86,80,6,9,6,Medium
38,28,73,1,79,84,84,4,13,9,Medium
44,40,90,1,96,94,92,8,12,11,High
43,34,79,1,68,87,74,5,9,5,Medium
30,16,53,0,53,65,68,4,9,5,Low
39,23,58,1,57,61,65,7,13,9,Medium
25,15,60,1,45,51,72,6,8,4,Low
49,31,63,0,79,81,78,4,8,6,Medium
49,31,63,1,79,64,59,6,9,7,Medium
23,9,39,1,65,60,54,2,10,6,Low
38,25,65,1,58,82,85,8,8,5,Medium
49,26,53,1,45,59,74,4,13,8,Low
49,27,55,0,44,47,59,1,14,8,Low
34,21,61,0,82,77,70,5,9,6,Medium
30,17,56,1,54,66,40,3,12,7,Low
38,23,60,1,57,65,81,6,13,11,Medium
49,21,42,0,72,51,44,4,8,3,Low
49,26,53,1,63,54,68,1,13,6,Low
28,16,57,0,71,66,42,2,14,6,Low
25,15,60,1,57,83,59,7,8,6,Medium
37,23,62,0,69,84,81,5,8,5,Medium
32,24,75,1,76,70,77,6,9,6,Medium
38,37,97,0,80,86,82,9,10,9,High
40,29,72,1,60,56,55,6,9,7,Medium
46,40,86,1,75,94,93,9,11,10,High
22,16,72,1,67,83,73,4,8,5,Medium
28,27,96,1,84,84,90,8,12,11,High
47,28,59,1,47,73,62,1,14,8,Low
42,18,42,1,70,69,45,1,9,4,Low
34,31,91,1,89,84,98,6,9,8,High
30,14,46,1,52,67,47,3,9,5,Low
41,26,63,1,88,78,54,4,13,10,Medium
23,12,52,1,41,50,67,5,8,3,Low
24,22,91,1,76,90,97,8,8,7,High
26,25,96,0,77,97,98,6,9,8,High
38,28,73,1,58,86,75,4,10,7,Medium
30,18,60,1,60,62,48,1,14,7,Low
44,42,95,1,93,99,77,7,14,13,High
43,39,90,1,97,76,86,6,11,10,High
40,24,60,0,73,65,47,2,13,6,Low
39,21,53,0,54,59,71,2,12,6,Low
47,23,48,1,67,52,40,6,10,4,Low
24,15,62,0,69,83,82,7,10,7,Medium
20,19,95,0,81,77,78,7,11,10,High
20,19,95,1,94,78,77,7,13,12,High
38,33,86,0,78,86,87,7,12,10,High
43,29,67,1,66,77,52,6,8,6,Medium
36,27,75,1,63,82,82,8,12,10,Medium
29,22,75,0,65,69,54,6,13,8,Medium
28,18,64,0,68,70,76,5,14,9,Medium
44,18,40,1,70,56,47,5,13,6,Low
44,19,43,0,52,70,53,3,12,5,Low
28,23,82,1,94,97,84,7,13,11,High
21,19,90,1,77,95,85,6,11,10,High
31,22,70,0,63,59,71,5,8,6,Medium
42,31,73,1,62,69,50,5,11,7,Medium
43,33,76,1,85,65,69,7,13,11,Medium
40,28,70,1,72,57,50,4,9,8,Medium
36,34,94,1,90,85,88,6,9,8,High
28,26,92,1,79,97,89,6,14,13,High
20,12,60,0,67,69,63,4,8,5,Medium
42,32,76,1,74,66,74,7,10,7,Medium
49,43,87,1,96,75,84,9,8,7,High
39,20,51,1,56,49,73,4,8,4,Low
24,14,58,0,89,69,74,4,9,6,Medium
37,28,75,1,64,71,57,4,13,11,Medium
45,42,93,1,99,93,92,8,13,11,High
41,33,80,1,83,89,68,4,10,7,Medium
43,36,83,1,59,58,52,8,9,6,Medium
43,36,83,1,58,84,87,4,9,7,Medium
36,31,86,1,99,96,91,7,10,9,High
41,38,92,1,83,86,72,6,11,10,High
33,19,57,1,68,83,60,6,8,6,Medium
42,27,64,1,85,71,77,7,11,8,Medium
27,22,81,1,57,62,66,5,12,7,Medium
22,10,45,1,57,63,63,2,13,6,Low
28,26,92,1,75,87,71,6,13,12,High
28,26,92,0,90,94,74,7,11,10,High
30,29,96,1,81,87,73,9,9,8,High
39,19,48,0,57,58,57,6,11,4,Low
22,13,59,1,59,65,64,4,9,6,Medium
27,23,85,1,89,92,84,7,12,11,High
41,24,58,1,66,66,63,7,8,6,Medium
44,33,75,1,73,57,74,7,11,8,Medium
26,16,61,0,69,72,78,5,13,10,Medium
34,17,50,0,74,58,58,4,9,4,Low
45,27,60,1,85,60,51,4,8,6,Medium
47,36,76,1,78,55,83,5,13,10,Medium
34,18,52,0,63,46,47,2,14,5,Low
47,29,61,1,45,69,48,4,12,6,Low
38,35,92,1,92,82,75,6,14,13,High
28,23,82,1,60,57,76,6,14,10,Medium
23,20,86,0,89,81,70,7,9,8,High
33,24,72,1,69,61,55,7,9,6,Medium
27,23,85,1,89,95,93,7,10,9,High
41,40,97,1,84,89,86,6,14,13,High
21,10,47,1,55,51,66,1,11,5,Low
35,18,51,1,67,56,60,4,12,7,Low
20,14,70,0,83,59,64,6,10,7,Medium
23,22,95,1,89,95,70,6,12,11,High
26,22,84,0,93,81,76,8,14,13,High
23,15,65,0,64,73,79,6,13,11,Medium
40,35,87,1,78,75,71,8,8,7,High
36,33,91,0,87,86,78,7,13,11,High
20,12,60,1,81,65,65,7,8,5,Medium
22,11,50,1,42,68,47,2,11,5,Low
39,38,97,1,80,77,87,6,12,10,High
35,21,60,1,67,49,65,4,14,8,Low
36,25,69,0,69,87,61,7,13,10,Medium
31,27,87,1,85,90,96,7,9,8,High
44,42,95,0,88,92,95,8,14,13,High
23,22,95,0,92,78,70,8,11,10,High
44,42,95,1,99,86,72,8,12,11,High
28,14,50,1,60,71,47,4,10,4,Low
35,24,68,1,59,88,79,8,9,6,Medium
24,11,45,1,56,46,59,1,9,4,Low
46,33,71,1,57,67,69,6,12,10,Medium
43,37,86,1,76,94,88,9,14,13,High
22,21,95,1,96,87,79,7,12,11,High
44,43,97,0,94,89,75,7,10,9,High
34,31,91,1,79,95,98,7,10,9,High
42,37,88,1,85,83,75,6,14,13,High
33,28,84,1,98,93,81,8,13,12,High
49,22,44,0,53,59,60,3,10,6,Low
39,29,74,0,65,75,54,4,12,9,Medium
47,46,97,0,79,78,77,6,9,8,High
41,16,39,1,59,68,66,1,12,6,Low
44,38,86,1,99,96,81,7,9,8,High
31,22,70,1,63,75,75,6,10,8,Medium
33,25,75,1,63,77,85,7,13,9,Medium
36,31,86,1,78,83,78,6,14,12,High
44,34,77,1,70,78,74,7,8,6,Medium
33,19,57,1,43,74,46,6,11,6,Low
29,16,55,1,44,60,63,3,9,4,Low
25,18,72,1,57,69,55,8,8,7,Medium
22,21,95,1,93,97,71,7,8,7,High
32,14,43,1,63,52,48,1,10,4,Low
30,15,50,1,67,47,65,4,13,6,Low
25,22,88,0,77,85,74,9,9,8,High
36,24,66,1,74,58,58,4,10,8,Medium
20,17,85,0,83,96,99,9,12,11,High
48,41,85,1,83,93,78,9,8,7,High
22,13,59,1,70,52,55,1,14,7,Low
25,21,84,1,79,83,91,7,9,8,High
20,18,90,1,78,82,96,6,11,10,High
30,27,90,1,91,77,76,7,11,10,High
30,22,73,1,63,67,89,6,12,9,Medium
46,39,84,0,82,94,97,7,11,10,High
29,15,51,1,57,57,62,5,13,5,Low
25,21,84,1,85,88,71,8,8,7,High
32,19,59,1,48,53,62,5,12,5,Medium
44,39,88,1,77,90,84,9,11,10,High
43,26,60,0,52,69,57,1,8,4,Medium
23,13,56,1,44,47,42,6,12,6,Low
45,43,95,1,93,97,96,7,9,8,High
31,22,70,1,57,79,81,6,8,6,Medium
22,16,72,0,56,73,59,5,10,8,Medium
24,22,91,0,94,82,72,9,11,10,High
32,17,53,1,49,51,68,4,8,3,Low
49,22,44,1,66,69,45,4,13,5,Low
22,9,40,1,46,60,57,2,9,5,Low
39,38,97,1,88,94,78,9,12,11,High
27,22,81,0,59,55,63,8,13,9,Medium
40,29,72,1,81,62,72,7,11,9,Medium
37,36,97,1,97,83,71,8,13,12,High
33,15,45,0,57,64,40,3,10,5,Low
39,27,69,1,85,58,81,7,14,11,Medium
25,14,56,0,40,57,56,6,12,5,Low
30,23,76,0,77,71,56,7,10,8,Medium
27,21,77,1,71,78,62,7,10,7,Medium
25,11,44,1,54,56,60,5,12,5,Low
40,36,90,1,97,95,70,8,9,8,High
34,25,73,0,82,69,61,5,13,10,Medium
36,15,41,1,67,51,68,2,10,4,Low
28,25,89,1,94,91,81,6,11,10,High
40,28,70,0,80,61,65,7,10,7,Medium
40,34,85,1,82,78,70,7,10,9,High
26,17,65,0,69,59,87,6,11,7,Medium
33,28,84,1,93,83,80,8,13,12,High
23,18,78,0,67,81,73,8,10,6,Medium
25,15,60,0,70,59,48,1,9,3,Low
36,26,72,1,56,55,71,8,14,10,Medium
27,19,70,1,55,86,72,4,10,8,Medium
44,38,86,1,84,99,87,6,9,8,High
32,21,65,1,70,73,62,8,13,9,Medium
38,29,76,0,65,67,85,8,8,5,Medium
49,32,65,1,81,68,58,8,10,7,Medium
27,15,55,1,40,56,72,2,10,6,Low
44,40,90,0,81,98,76,9,12,11,High
28,26,92,0,82,76,91,6,14,13,High
33,19,57,1,71,79,71,4,14,10,Medium
26,11,42,1,47,70,60,4,9,3,Low
27,22,81,0,74,73,54,8,14,9,Medium
31,18,58,1,67,60,42,5,9,4,Low
32,14,43,0,65,57,48,6,12,6,Low
39,27,69,0,61,58,88,6,9,7,Medium
22,13,59,0,89,74,72,7,12,8,Medium
35,30,85,0,77,82,70,9,12,11,High
48,32,66,1,87,55,68,6,13,9,Medium
48,37,77,1,63,82,85,8,9,7,Medium
34,30,88,0,88,86,94,7,8,7,High
39,16,41,0,50,48,44,2,13,5,Low
42,34,80,1,62,81,67,4,12,10,Medium
43,23,53,0,48,61,67,4,11,4,Low
41,23,56,0,59,72,40,4,12,7,Low
24,23,95,1,98,77,87,9,14,12,High
22,11,50,1,48,47,43,6,10,5,Low
31,19,61,1,70,60,60,5,11,9,Medium
33,20,60,0,86,69,80,5,12,9,Medium
44,28,63,0,71,67,73,4,14,12,Medium
26,15,57,1,79,89,52,5,10,7,Medium
46,27,58,1,65,52,71,2,9,5,Low
44,29,65,1,69,68,67,5,12,10,Medium
38,23,60,1,71,64,47,2,8,4,Low
41,33,80,1,67,84,81,5,12,7,Medium
20,17,85,0,97,85,75,8,14,13,High
27,26,96,1,88,85,80,9,14,13,High
37,22,59,1,69,82,81,4,14,11,Medium
44,26,59,0,71,66,86,5,13,8,Medium
30,14,46,1,73,72,49,2,10,5,Low
20,17,85,1,76,90,87,6,8,7,High
40,24,60,1,42,61,73,2,12,7,Medium
30,24,80,1,73,64,68,8,8,5,Medium
40,27,67,1,89,69,83,5,10,8,Medium
45,38,84,1,77,81,80,7,8,7,High
49,46,93,1,93,84,70,9,9,8,High
26,18,69,1,81,87,79,4,10,8,Medium
29,22,75,1,87,70,88,6,8,6,Medium
31,23,74,1,57,85,68,6,12,10,Medium
26,24,92,0,78,85,88,6,9,8,High
22,8,36,0,64,46,45,6,13,6,Low
35,29,82,0,56,83,70,7,13,8,Medium
43,31,72,1,78,72,65,6,14,10,Medium
35,25,71,0,61,78,81,4,10,8,Medium
28,14,50,0,73,54,66,1,14,6,Low
38,22,57,1,57,61,49,2,9,4,Low
25,20,80,0,74,73,59,7,8,6,Medium
33,31,93,0,83,79,89,7,14,13,High
24,22,91,0,79,84,81,7,10,9,High
29,24,82,1,55,77,84,5,8,6,Medium
37,23,62,1,60,88,65,4,12,8,Medium
26,23,88,1,92,85,95,9,9,8,High
40,23,57,1,51,59,69,6,10,4,Low
49,29,59,1,76,65,60,4,12,8,Medium
24,21,87,1,87,91,89,6,10,9,High
32,28,87,0,76,91,78,7,9,8,High
23,13,56,1,49,56,68,2,9,3,Low
21,16,76,1,84,66,77,4,8,6,Medium
49,48,97,0,84,92,92,7,13,12,High
25,24,96,1,97,91,78,9,13,12,High
37,16,43,1,47,74,54,4,8,4,Low
37,25,67,0,73,57,81,5,8,6,Medium
42,31,73,1,56,66,57,6,14,11,Medium
28,13,46,0,48,55,58,3,9,5,Low
43,36,83,1,79,88,96,9,9,8,High
27,21,77,1,64,87,82,4,9,5,Medium
45,23,51,1,47,60,55,2,9,5,Low
37,29,78,0,74,76,62,7,10,7,Medium
31,16,51,1,46,48,55,3,9,3,Low
42,30,71,1,57,84,82,7,10,8,Medium
31,15,48,0,72,49,59,1,11,5,Low
27,16,59,0,61,60,60,4,10,4,Low
